class grade,,,,,,,
data,Pascal,Ella,Ryan,Hugh,Patrick,Alissa,Aidan
2020/8/1,3,7,7,3,3,3,0
2020/8/2,0,6,3,6,3,4,0
2020/8/3,3,6,3,2,3,2,0
2020/8/4,9,8,10,10,9,9,0
2020/8/5,4,8,7,11,9,2,0
2020/8/6,6,8,0,6,0,5,0
2020/8/7,3,9,5,8,0,1,0
2020/8/9,6,15,10,16,0,16,0
2020/8/10,1,3,3,3,0,2,0
2020/8/11,3,7,7,3,0,3,0
2020/8/12,3,7,7,7,0,1,0
2020/8/13,4,0,7,10,0,3,1
2020/8/14,5,0,8,5,0,2,0
2020/8/15,8,9,8,10,0,2,0
2020/8/17,0,0,3,0,0,0,0
